Label,MQ2,MQ3,MQ135,MQ136
Unknown,26,103,19,40
Unknown,26,102,19,41
Unknown,26,103,19,40
Unknown,26,103,19,40
Unknown,25,104,19,40
Unknown,25,104,19,40
Unknown,25,103,19,41
Unknown,25,104,19,40
Unknown,26,104,19,40
Unknown,25,103,19,40
Unknown,25,104,19,41
Unknown,25,103,19,41
Unknown,26,104,19,40
Unknown,26,104,18,40
Unknown,26,104,19,40
Unknown,26,104,19,40
Unknown,26,103,19,40
Unknown,26,104,19,40
Unknown,24,104,20,41
Unknown,26,104,19,41
Unknown,25,104,19,40
Unknown,25,104,19,40
Unknown,25,104,19,40
Unknown,25,104,19,40
Unknown,26,104,19,40
Unknown,25,104,19,41
Unknown,26,105,19,40
Unknown,26,104,19,40
Unknown,26,104,19,41
Unknown,25,104,20,41
Unknown,26,104,19,40
Unknown,26,104,20,41
Unknown,25,105,19,40
Unknown,26,104,18,40
Unknown,26,104,19,40
Unknown,26,105,19,40
Unknown,26,106,20,40
Unknown,25,104,20,40
Unknown,26,104,18,42
Unknown,26,104,19,40
Unknown,26,105,20,40
Unknown,26,104,19,40
Unknown,26,104,19,40
Unknown,25,105,19,41
Unknown,26,105,20,40
Unknown,26,105,19,41
Unknown,26,105,20,40
Unknown,26,106,19,40
Unknown,25,105,20,40
Unknown,26,105,19,41
Unknown,26,105,18,40
Unknown,26,105,19,41
Unknown,26,105,20,40
Unknown,25,106,19,41
Unknown,26,105,18,41
Unknown,25,105,18,41
Unknown,26,106,19,41
Unknown,26,105,19,40
Unknown,26,106,18,41
Unknown,26,106,20,40
Unknown,26,105,18,40
Unknown,27,106,19,40
Unknown,26,106,19,41
Unknown,25,106,20,40
Unknown,26,106,19,40
Unknown,26,107,19,41
Unknown,26,107,19,41
Unknown,25,106,20,41
Unknown,26,106,19,40
Unknown,26,106,18,40
Unknown,25,106,19,41
Unknown,26,107,19,41
Unknown,25,106,18,40
Unknown,25,107,20,41
Unknown,26,107,19,41
Unknown,27,107,19,41
Unknown,25,107,19,41
Unknown,26,106,19,41
Unknown,26,107,19,41
Unknown,26,107,19,41
Unknown,26,108,19,41
Unknown,25,108,19,41
Unknown,26,107,19,41
Unknown,26,108,19,40
Unknown,25,107,19,41
Unknown,25,107,18,42
Unknown,25,108,19,41
Unknown,25,108,19,41
Unknown,25,109,19,41
Unknown,26,107,19,41
Unknown,26,108,19,41
Unknown,25,106,19,41
Unknown,26,109,20,41
Unknown,26,108,19,40
Unknown,26,109,19,42
Unknown,25,109,19,41
Unknown,25,107,19,41
Unknown,26,109,19,40
Unknown,26,109,19,41
Unknown,25,108,19,41
Unknown,26,109,20,41
Unknown,26,109,20,41
Unknown,26,109,19,40
Unknown,26,110,19,42
Unknown,26,110,19,41
Unknown,27,109,20,42
Unknown,26,110,19,41
Unknown,26,109,19,41
Unknown,26,109,18,42
Unknown,25,110,19,41
Unknown,25,109,19,42
Unknown,26,110,20,42
Unknown,26,110,18,41
Unknown,26,110,19,41
Unknown,26,110,19,41
Unknown,25,110,19,42
Unknown,26,110,20,41
Unknown,26,111,19,41
Unknown,25,110,19,42
Unknown,26,111,20,41
Unknown,26,110,19,41
Unknown,26,111,19,41
Unknown,26,110,19,41
Unknown,26,111,20,41
Unknown,26,110,19,41
Unknown,26,111,19,42
Unknown,25,110,19,42
Unknown,26,110,19,42
Unknown,26,111,19,41
Unknown,26,111,20,41
Unknown,25,111,19,42
Unknown,26,112,19,42
Unknown,26,111,19,42
Unknown,25,111,19,42
Unknown,26,111,19,40
Unknown,26,111,19,42
Unknown,26,112,20,42
Unknown,26,111,19,41
Unknown,25,111,19,42
Unknown,26,111,19,42
Unknown,26,112,19,41
Unknown,26,112,19,42
Unknown,26,112,19,41
Unknown,26,111,19,41
Unknown,26,112,19,42
Unknown,25,113,19,41
Unknown,25,113,19,41
Unknown,25,112,20,42
Unknown,26,112,19,43
Unknown,26,112,19,42
Unknown,26,113,19,41
Unknown,26,113,19,41
Unknown,26,113,19,42
Unknown,26,113,19,41
Unknown,26,112,19,41
Unknown,25,113,19,41
Unknown,26,113,19,42
Unknown,26,113,18,42
Unknown,25,113,20,42
Unknown,26,114,20,42
Unknown,26,114,19,41
Unknown,25,114,19,42
Unknown,26,113,18,42
Unknown,26,113,19,42
Unknown,26,114,19,42
Unknown,25,113,20,42
Unknown,25,114,19,42
Unknown,26,113,19,42
Unknown,27,113,18,41
Unknown,26,115,19,42
Unknown,26,114,20,42
Unknown,26,114,19,42
Unknown,26,114,19,42
Unknown,25,114,19,42
Unknown,27,114,19,42
Unknown,26,115,19,42
Unknown,26,114,19,42
Unknown,27,114,19,42
Unknown,25,114,19,43
Unknown,26,115,19,42
Unknown,26,115,19,41
Unknown,26,115,20,42
Unknown,26,115,19,42
Unknown,26,115,19,42
Unknown,26,115,19,40
Unknown,26,116,19,41
Unknown,26,117,20,42
Unknown,26,115,19,42
Unknown,26,116,20,42
Unknown,26,115,19,42
Unknown,27,114,19,42
Unknown,26,116,19,43
Unknown,25,116,20,42
Unknown,27,116,20,43
Unknown,26,115,19,42
Unknown,26,116,20,42
Unknown,26,116,19,41
Unknown,26,116,20,42
Unknown,26,115,19,43
Unknown,26,116,20,41
Unknown,26,117,19,42
Unknown,27,116,19,42
Unknown,27,116,19,42
Unknown,26,116,20,42
Unknown,26,117,20,43
Unknown,26,117,19,42
Unknown,26,117,19,42
Unknown,27,116,18,42
Unknown,25,116,19,43
Unknown,26,117,19,42
Unknown,26,117,19,42
Unknown,26,117,19,42
Unknown,26,117,19,42
Unknown,26,118,19,42
Unknown,25,117,19,42
Unknown,26,117,19,42
Unknown,26,118,19,43
Unknown,26,117,19,42
Unknown,27,118,19,43
Unknown,24,118,19,43
Unknown,25,118,19,42
Unknown,26,118,19,43
Unknown,25,118,20,43
Unknown,25,118,20,42
Unknown,26,118,20,43
Unknown,26,118,19,43
Unknown,26,118,19,43
Unknown,25,118,19,42
Unknown,26,118,19,41
Unknown,26,118,19,43
Unknown,26,119,19,42
Unknown,27,118,19,42
Unknown,26,119,18,42
Unknown,26,118,20,43
Unknown,26,119,20,42
Unknown,26,119,19,43
Unknown,26,119,19,43
Unknown,26,119,20,42
Unknown,26,119,19,42
Unknown,26,119,19,43
Unknown,26,119,20,43
Unknown,26,119,19,42
Unknown,26,119,19,43
Unknown,26,119,20,44
Unknown,26,120,19,43
Unknown,26,120,19,43
Unknown,27,119,19,43
Unknown,26,120,18,42
Unknown,25,120,19,43
Unknown,26,119,19,43
Unknown,25,120,19,43
Unknown,27,119,19,43
Unknown,26,121,19,43
Unknown,26,119,19,43
Unknown,27,120,19,42
Unknown,25,120,20,43
Unknown,26,120,19,42
Unknown,27,120,19,44
Unknown,26,120,20,43
Unknown,26,121,19,43
Unknown,26,120,19,43
Unknown,26,120,20,43
Unknown,26,120,19,43
Unknown,26,120,19,44
Unknown,26,120,19,43
Unknown,25,121,21,43
Unknown,26,120,20,42
Unknown,26,121,19,43
Unknown,25,121,20,43
Unknown,26,121,19,43
Unknown,26,120,19,42
Unknown,26,121,19,43
Unknown,26,121,20,43
Unknown,27,122,19,43
Unknown,26,121,20,43
Unknown,26,121,20,43
Unknown,26,121,20,43
Unknown,26,122,19,43
Unknown,26,121,20,43
Unknown,26,121,19,43
Unknown,27,122,20,43
Unknown,25,121,20,43
Unknown,26,122,20,43
Unknown,26,120,19,43
Unknown,26,122,20,43
Unknown,26,122,19,43
Unknown,26,121,19,43
Unknown,26,122,19,43
Unknown,26,123,19,42
Unknown,25,122,20,44
Unknown,26,123,19,43
Unknown,26,123,20,43
Unknown,26,122,19,44
Unknown,26,122,19,43
Unknown,26,123,20,44
Unknown,26,123,20,44
Unknown,26,122,20,43
Unknown,26,122,19,43
Unknown,26,123,20,43
Unknown,26,123,20,43
Unknown,26,123,20,43
Unknown,26,123,20,44
Unknown,25,123,20,44
Unknown,26,123,20,44
Unknown,26,123,20,43
Unknown,26,124,18,43
Unknown,26,124,18,43
Unknown,26,123,19,44
Unknown,26,124,20,44
Unknown,26,123,20,43
Unknown,26,123,20,44
Unknown,25,124,20,44
Unknown,26,123,18,43
Unknown,25,124,20,43
Unknown,26,123,20,43
Unknown,26,123,19,43
Unknown,26,124,19,44
Unknown,27,124,19,44
Unknown,26,124,19,43
Unknown,26,125,19,43
Unknown,26,123,19,44
Unknown,25,124,19,43
Unknown,26,124,20,43
Unknown,26,124,19,43
Unknown,26,124,19,44
Unknown,26,125,20,44
Unknown,27,124,19,44
Unknown,26,125,18,44
Unknown,26,125,19,44
Unknown,26,125,19,43
Unknown,26,125,20,44
Unknown,26,125,19,44
Unknown,26,125,19,44
Unknown,26,125,20,43
Unknown,25,125,19,44
Unknown,27,125,19,43
Unknown,26,125,19,44
Unknown,25,125,19,43
Unknown,27,126,20,44
Unknown,26,125,20,44
Unknown,26,126,20,44
Unknown,26,126,19,43
Unknown,25,125,20,43
Unknown,25,126,20,44
Unknown,26,125,20,44
Unknown,26,126,20,43
Unknown,25,126,20,44
Unknown,26,126,19,44
Unknown,26,126,20,44
Unknown,26,126,19,44
Unknown,26,126,20,44
Unknown,25,124,19,45
Unknown,26,127,20,44
Unknown,26,127,20,44
Unknown,26,126,19,44
Unknown,26,126,20,44
Unknown,26,126,20,44
Unknown,26,127,19,44
Unknown,26,127,20,44
Unknown,26,126,19,44
Unknown,27,126,18,44
Unknown,26,127,19,43
Unknown,26,128,19,44
Unknown,26,127,20,44
Unknown,26,127,19,44
Unknown,26,127,20,44
Unknown,26,127,20,44
Unknown,26,128,20,44
Unknown,26,127,19,44
Unknown,26,128,19,44
Unknown,25,127,20,44
Unknown,26,128,19,44
Unknown,26,127,19,44
Unknown,25,128,20,45
Unknown,27,127,20,44
Unknown,26,128,19,44
Unknown,26,127,19,45
Unknown,27,128,20,44
Unknown,26,128,20,45
Unknown,26,128,19,44
Unknown,26,128,20,45
Unknown,26,128,20,44
Unknown,27,128,19,45
Unknown,26,128,19,44
Unknown,26,128,19,44
Unknown,26,128,20,44
Unknown,27,128,20,44
Unknown,26,128,19,45
Unknown,26,129,20,44
Unknown,26,129,19,44
Unknown,26,128,20,45
Unknown,26,128,20,44
Unknown,26,128,19,44
Unknown,26,129,20,45
Unknown,26,129,20,44
Unknown,26,128,20,45
Unknown,27,128,19,44
Unknown,25,128,19,45
Unknown,26,128,19,45
Unknown,26,129,20,45
Unknown,26,128,19,45
Unknown,27,129,20,45
Unknown,26,129,19,44
Unknown,26,129,21,45
Unknown,26,129,19,45
Unknown,26,129,20,44
Unknown,26,129,19,44
Unknown,26,129,20,44
Unknown,25,129,20,45
Unknown,26,129,20,44
Unknown,26,129,20,44
Unknown,26,130,19,44
Unknown,26,129,20,45
Unknown,26,129,19,45
Unknown,26,129,20,44
Unknown,26,129,19,45
Unknown,26,130,20,44
Unknown,26,129,20,45
Unknown,27,130,20,44
Unknown,26,130,20,44
Unknown,26,130,20,44
Unknown,26,129,19,45
Unknown,26,130,20,44
Unknown,26,129,20,45
Unknown,26,130,19,45
Unknown,26,130,20,45
Unknown,27,130,18,44
Unknown,27,130,20,45
Unknown,27,130,20,44
Unknown,26,130,20,46
Unknown,27,131,20,45
Unknown,26,131,19,45
Unknown,26,130,20,44
Unknown,26,130,19,45
Unknown,27,131,19,45
Unknown,27,130,19,45
Unknown,26,130,20,44
Unknown,26,131,20,44
Unknown,27,131,20,45
Unknown,26,131,20,45
Unknown,26,130,20,45
Unknown,26,131,19,44
Unknown,26,131,19,45
Unknown,26,131,20,44
Unknown,27,130,19,45
Unknown,26,130,20,44
Unknown,26,131,20,45
Unknown,26,131,20,46
Unknown,27,131,19,45
Unknown,26,131,19,45
Unknown,27,132,20,45
Unknown,25,131,20,45
Unknown,26,131,20,45
Unknown,26,131,20,44
Unknown,26,131,19,44
Unknown,27,132,19,44
Unknown,26,131,20,45
Unknown,26,131,19,44
Unknown,26,132,20,44
Unknown,26,131,20,45
Unknown,27,132,20,45
Unknown,26,133,20,45
Unknown,27,132,20,44
Unknown,26,131,19,45
Unknown,26,131,20,46
Unknown,26,132,19,46
Unknown,26,133,20,45
Unknown,26,132,20,45
Unknown,26,132,19,45
Unknown,26,133,19,45
Unknown,27,132,19,45
Unknown,27,132,20,45
Unknown,27,133,20,44
Unknown,26,133,20,45
Unknown,27,133,19,45
Unknown,27,132,19,46
Unknown,26,133,19,45
Unknown,26,132,20,45
Unknown,26,132,20,46
Unknown,26,132,19,45
Unknown,26,133,20,44
Unknown,26,133,20,44
Unknown,26,132,20,46
Unknown,26,132,20,44
Unknown,26,132,19,46
Unknown,27,133,19,46
Unknown,27,133,19,45
Unknown,27,133,20,45
Unknown,27,132,19,45
Unknown,26,133,19,45
Unknown,26,132,19,46
Unknown,27,133,20,45
Unknown,27,133,20,45
Unknown,27,132,20,45
Unknown,26,133,20,45
Unknown,26,133,19,46
Unknown,26,133,21,45
Unknown,26,132,19,45
Unknown,26,133,19,45
Unknown,26,133,20,45
Unknown,27,133,19,45
Unknown,27,133,20,46
Unknown,26,133,20,46
Unknown,27,134,20,45
Unknown,26,133,20,46
Unknown,27,133,20,45
Unknown,26,133,19,45
Unknown,27,133,19,46
Unknown,27,133,19,46
Unknown,27,133,20,45
Unknown,27,133,20,45
Unknown,27,134,20,45
Unknown,27,134,19,45
Unknown,26,133,19,45
Unknown,26,133,19,46
Unknown,27,134,19,46
Unknown,25,134,20,45
Unknown,26,134,20,45
Unknown,25,134,20,46
Unknown,26,134,19,45
Unknown,26,134,19,46
Unknown,26,134,19,46
Unknown,27,135,20,47
Unknown,25,134,20,46
Unknown,26,134,20,44
Unknown,26,134,20,45
Unknown,27,134,20,46
Unknown,27,134,19,46
Unknown,27,134,20,46
Unknown,27,134,20,45
Unknown,26,135,20,45
Unknown,26,134,19,45
Unknown,26,134,19,46
Unknown,26,134,20,47
Unknown,26,135,19,46
Unknown,25,134,21,46
Unknown,27,134,19,46
Unknown,27,134,20,46
Unknown,26,134,19,47
Unknown,26,135,20,45
Unknown,27,134,19,45
Unknown,26,134,19,46
Unknown,26,134,20,46
Unknown,26,135,20,45
Unknown,27,135,20,46
Unknown,26,135,19,46
Unknown,26,135,20,47
Unknown,26,135,20,47
Unknown,27,135,19,46
Unknown,25,135,20,46
Unknown,26,136,19,45
Unknown,26,136,20,47
Unknown,26,135,19,46
Unknown,27,135,21,45
Unknown,26,136,20,46
Unknown,26,135,19,46
Unknown,27,134,19,46
Unknown,26,136,20,46
Unknown,26,135,19,46
Unknown,27,135,20,46
Unknown,26,135,20,46
Unknown,26,136,20,46
Unknown,26,136,19,45
Unknown,26,136,20,46
Unknown,26,135,19,46
Unknown,26,135,19,46
Unknown,27,136,19,46
Unknown,26,136,20,46
Unknown,25,136,20,46
Unknown,27,135,19,46
Unknown,26,136,19,46
Unknown,26,136,20,45
Unknown,26,136,20,45
Unknown,26,136,19,45
Unknown,26,136,20,46
Unknown,26,136,20,45
Unknown,25,136,19,46
Unknown,27,136,18,46
Unknown,26,136,20,46
Unknown,26,136,20,46
Unknown,26,136,19,46
Unknown,27,136,19,46
Unknown,26,136,20,46
Unknown,27,136,20,45
Unknown,26,136,19,46
Unknown,27,136,20,46
Unknown,27,137,19,46
Unknown,27,136,19,46
Unknown,26,136,20,46
Unknown,26,136,19,46
Unknown,26,137,19,46
Unknown,25,136,20,46
Unknown,26,137,20,46
Unknown,27,136,20,46
Unknown,27,136,19,46
Unknown,27,137,20,46
Unknown,27,136,20,46
Unknown,26,137,19,46
Unknown,27,136,20,46
Unknown,26,137,20,46
Unknown,26,137,20,46
Unknown,25,137,20,47
Unknown,27,136,19,46
Unknown,26,137,20,46
Unknown,27,137,20,46
