Label,MQ2,MQ3,MQ135,MQ136,MQ137,MQ138
Soy Sauce,584.0865224625624,133.4475873544093,336.2712146422629,91.56405990016638,764.1131447587354,750.4525790349418
Soy Sauce,575.9417637271215,121.4575707154742,298.87354409317805,100.20798668885192,745.6439267886856,718.432612312812
Soy Sauce,590.3344425956739,136.3477537437604,342.1863560732113,105.66389351081531,765.171381031614,743.0715474209651
Soy Sauce,539.6395663956639,120.86449864498645,261.4065040650407,84.70189701897019,762.5040650406504,706.2140921409214
Soy Sauce,574.7359735973597,128.73927392739273,297.6963696369637,93.8102310231023,773.523102310231,744.6435643564356
Soy Sauce,575.4561983471075,119.81322314049586,292.08429752066115,85.83801652892562,768.0495867768595,742.7950413223141
Soy Sauce,591.3677204658902,132.2063227953411,315.585690515807,96.77537437603993,783.5474209650582,754.820299500832
Soy Sauce,561.6605657237936,118.57903494176372,276.67886855241267,81.01331114808653,760.3843594009984,732.3361064891847
Soy Sauce,572.4646962233169,116.6256157635468,282.6190476190476,84.82758620689656,767.4351395730706,735.7011494252873
Soy Sauce,573.8592471358429,118.13093289689034,275.2291325695581,86.47463175122749,763.5090016366612,723.8248772504091
Soy Sauce,567.9409836065573,117.9983606557377,273.5672131147541,84.89508196721312,759.8098360655738,727.644262295082
Soy Sauce,578.7520798668885,138.18801996672212,302.5540765391015,94.07154742096506,746.2079866888519,724.2396006655574
Soy Sauce,606.110183639399,171.457429048414,362.7813021702838,119.90818030050083,771.7896494156928,761.8781302170283
Soy Sauce,603.375,132.4128289473684,303.05592105263156,95.46710526315789,776.2368421052631,746.6973684210526
Soy Sauce,586.3722871452421,148.5559265442404,318.2938230383973,106.12520868113522,755.8430717863105,739.5993322203673
Soy Sauce,565.0550918196996,158.19031719532555,292.74457429048414,108.2838063439065,738.711185308848,709.5275459098498
Soy Sauce,569.2804674457429,160.4974958263773,290.661101836394,107.39899833055092,738.2804674457429,716.821368948247
Soy Sauce,568.4924874791319,150.20868113522536,287.7762938230384,103.59933222036727,734.3055091819699,710.3155258764608
Soy Sauce,514.4758735440931,97.18968386023295,267.00499168053244,63.56572379367721,735.5191347753744,696.3394342762064
Soy Sauce,525.9484193011647,90.52745424292846,274.7271214642263,61.123128119800334,748.0765391014975,701.6056572379367
Soy Sauce,575.9650582362729,122.7936772046589,323.1763727121464,86.00499168053244,761.5956738768718,730.2662229617305
Soy Sauce,566.1181364392679,127.7703826955075,304.93843594009985,89.30782029950083,751.69384359401,710.5457570715474
Soy Sauce,567.5524126455907,148.69883527454243,314.5723793677205,93.34941763727122,755.2279534109817,747.4442595673877
Soy Sauce,553.8835274542429,136.71214642262896,278.2828618968386,88.96672212978369,741.6738768718802,712.1247920133111
Soy Sauce,608.2346089850249,155.82196339434276,324.1514143094842,107.67054908485856,760.873544093178,729.7920133111481
Fish Sauce,140.11647254575706,18.53910149750416,75.62229617304493,20.00665557404326,447.7720465890183,389.4675540765391
Fish Sauce,146.76986754966887,18.496688741721854,54.63079470198676,20.705298013245034,422.37417218543044,342.9950331125828
Fish Sauce,121.72212978369384,18.271214642262894,58.630615640599004,20.607321131447588,441.7154742096506,355.1697171381032
Fish Sauce,125.7624584717608,18.14950166112957,58.57142857142857,20.694352159468437,440.87873754152827,354.24916943521595
Fish Sauce,110.73927392739274,18.778877887788777,45.72112211221122,21.034653465346533,424.92739273927396,321.476897689769
Fish Sauce,110.17656765676567,18.493399339933994,45.6996699669967,20.74917491749175,441.1551155115512,333.15346534653463
Fish Sauce,186.57071547420966,21.47920133111481,58.562396006655575,26.816971713810315,495.3777038269551,376.0732113144759
Fish Sauce,147.22349102773245,19.461663947797717,51.39151712887439,23.267536704730833,466.85970636215336,348.3996737357259
Fish Sauce,135.27243066884176,19.143556280587276,49.7373572593801,22.781045751633986,453.91517128874386,338.9363784665579
Fish Sauce,139.63036303630363,19.323432343234323,51.01815181518152,22.85148514851485,466.36138613861385,352.0858085808581
Fish Sauce,130.32682926829267,18.85691056910569,48.90243902439025,22.26829268292683,452.40162601626014,341.4341463414634
Fish Sauce,140.2828618968386,18.321131447587355,76.63560732113145,20.058236272878535,447.0648918469218,384.4841930116473
Fish Sauce,128.52380952380952,20.952380952380953,76.3152709359606,22.563218390804597,549.1642036124795,467.11001642036126
Fish Sauce,153.1747088186356,19.750415973377702,62.81031613976705,22.37271214642263,511.88519134775373,412.80865224625626
Fish Sauce,138.26065573770492,21.508196721311474,79.03934426229509,22.878489326765187,567.6934426229508,478.9032786885246
Fish Sauce,136.57929883138564,20.637729549248746,59.989983305509185,23.006677796327214,543.0333889816361,422.6627712854758
Fish Sauce,141.8914858096828,20.639398998330552,60.242070116861434,22.742904841402336,549.322203672788,427.94824707846414
Fish Sauce,150.25375626043405,20.447412353923205,61.70617696160267,22.90484140233723,564.0767946577629,440.63439065108514
Fish Sauce,139.8269550748752,18.53910149750416,73.9018302828619,20.129783693843596,451.2412645590682,394.53910149750413
Fish Sauce,141.35108153078204,18.64226289517471,74.76539101497504,20.249584026622298,461.01331114808653,404.0881863560732
Fish Sauce,137.06322795341097,18.409317803660567,73.53743760399334,20.044925124792012,451.47254575707154,402.2579034941764
Fish Sauce,147.6422628951747,18.615640599001665,59.470881863560734,20.62063227953411,453.61730449251246,382.28785357737104
Fish Sauce,149.94075587334015,18.876404494382022,61.99897854954035,20.582226762002044,447.1133810010214,389.8304392236976
Fish Sauce,135.63893510815308,18.173044925124792,58.31946755407654,20.221297836938437,462.8685524126456,381.13643926788683
Fish Sauce,166.9883527454243,19.71214642262895,57.983361064891845,22.988352745424294,440.58236272878537,354.2479201331115
Oyster Sauce,86.44084278768233,17.80551053484603,46.70988654781199,21.106969205834684,425.65640194489464,327.7617504051864
Oyster Sauce,84.54983388704319,16.704318936877076,51.088039867109636,19.24418604651163,406.890365448505,345.1179401993355
Oyster Sauce,138.41930116472545,19.52079866888519,61.204658901830285,24.9567387687188,451.8452579034942,367.47088186356075
Oyster Sauce,105.03826955074875,17.653910149750416,53.74376039933444,21.026622296173045,415.72046589018305,330.27953410981695
Oyster Sauce,92.90848585690516,17.148086522462563,51.277870216306155,20.123128119800334,404.5873544093178,316.0166389351082
Oyster Sauce,91.77851239669421,17.86115702479339,43.788429752066115,21.282644628099174,402.0115702479339,318.6462809917355
Oyster Sauce,90.89885807504078,18.03099510603589,49.182707993474715,21.815660685154974,441.0391517128874,336.7569331158238
Oyster Sauce,89.33605220228385,17.918433931484504,48.466557911908644,21.32463295269168,439.0440456769984,336.8564437194127
Oyster Sauce,86.9686985172982,17.761120263591433,46.06260296540363,21.115321252059307,415.53706754530475,322.51235584843494
Oyster Sauce,85.59803921568627,17.694444444444443,45.76797385620915,21.016339869281047,412.0767973856209,321.4232026143791
Oyster Sauce,86.89508196721312,17.85737704918033,46.937704918032786,21.35737704918033,421.4131147540984,326.655737704918
Oyster Sauce,126.29237947122861,17.082426127527217,57.88802488335925,20.082426127527217,410.4167962674961,315.09486780715395
Oyster Sauce,79.88998357963875,18.48768472906404,59.44006568144499,21.72532894736842,486.7142857142857,402.04269293924466
Oyster Sauce,79.22697368421052,18.488486842105264,58.797697368421055,21.34703947368421,486.6381578947368,402.97532894736844
Oyster Sauce,87.87354409317804,18.73377703826955,60.2712146422629,21.99334442595674,510.108153078203,471.05158069883527
Oyster Sauce,90.25876460767947,18.56594323873122,46.82804674457429,22.462437395659432,466.9866444073456,366.80300500834727
Oyster Sauce,94.52420701168614,18.203672787979965,48.363939899833056,22.063439065108515,501.50584307178633,373.7178631051753
Oyster Sauce,91.54742096505824,18.126455906821963,48.53078202995008,21.75540765391015,524.648918469218,374.7188019966722
Oyster Sauce,114.66722129783693,16.84026622296173,56.742096505823625,19.55241264559068,398.8885191347754,311.8951747088186
Oyster Sauce,105.26123128119801,16.657237936772045,56.19800332778702,19.186356073211314,444.8618968386023,310.8901830282862
Oyster Sauce,98.96505823627288,16.6522462562396,55.770382695507486,18.96173044925125,430.39767054908486,311.36605657237936
Oyster Sauce,95.11295681063123,17.016611295681063,51.30730897009967,19.697674418604652,405.33554817275746,346.0215946843854
Oyster Sauce,90.61397670549084,16.96339434276206,52.10648918469218,19.607321131447588,406.81198003327785,348.3793677204659
Oyster Sauce,86.25956738768718,16.762063227953412,50.79201331114809,19.367720465890184,402.65557404326125,342.96339434276206
Oyster Sauce,86.73377703826955,16.775374376039935,51.57404326123128,19.40765391014975,403.44925124792013,347.43760399334445
Worcestershire Sauce,317.7104825291181,38.02828618968386,135.99667221297838,28.346089850249584,600.5806988352746,551.4242928452579
Worcestershire Sauce,325.2029950083195,35.78202995008319,121.70049916805324,30.173044925124792,612.6722129783694,558.1580698835274
Worcestershire Sauce,329.35108153078204,34.47420965058236,139.33943427620633,31.86189683860233,628.7054908485857,537.8535773710482
Worcestershire Sauce,298.6222961730449,39.703826955074874,129.6405990016639,31.509151414309486,625.7104825291182,543.6023294509151
Worcestershire Sauce,327.9257425742574,33.49009900990099,121.73267326732673,29.34158415841584,652.5660066006601,578.4323432343234
Worcestershire Sauce,321.98524590163936,33.43934426229508,113.38360655737705,28.48688524590164,649.8016393442623,563.4590163934427
Worcestershire Sauce,333.83717105263156,34.875,119.48848684210526,29.470394736842106,665.0838815789474,580.2763157894736
Worcestershire Sauce,376.58096828046746,52.81636060100167,166.2754590984975,41.63439065108514,698.8263772954925,633.4240400667779
Worcestershire Sauce,333.09390444810543,33.55518945634267,114.26194398682043,29.14003294892916,655.2800658978583,566.5716639209226
Worcestershire Sauce,341.1262458471761,35.573089700996675,118.71760797342192,30.803986710963454,650.7990033222592,570.4950166112957
Worcestershire Sauce,323.61513157894734,33.56907894736842,110.20394736842105,29.174342105263158,616.6529605263158,547.9276315789474
Worcestershire Sauce,344.16638935108153,40.43594009983361,157.35607321131448,30.292845257903494,638.2462562396007,592.2063227953411
Worcestershire Sauce,348.6921797004992,33.68219633943428,113.75207986688852,30.881863560732114,643.6222961730449,553.8419301164726
Worcestershire Sauce,358.44353518821606,35.71849427168576,120.00163666121112,31.25204582651391,658.8887070376433,574.6219312602292
Worcestershire Sauce,333.2638436482085,34.299674267100976,111.98045602605863,29.592833876221498,634.4250814332247,563.9201954397394
Worcestershire Sauce,347.8927392739274,36.115511551155116,116.44554455445545,30.264026402640265,650.440594059406,572.0280528052805
Worcestershire Sauce,349.2961730449251,35.06655574043261,117.67221297836939,30.139767054908486,647.8935108153078,570.514143094842
Worcestershire Sauce,341.56137479541735,35.35679214402619,114.81833060556465,29.594108019639936,644.5450081833061,571.4942716857611
Worcestershire Sauce,382.7920133111481,47.339434276206326,181.6089850249584,33.37936772046589,660.936772046589,604.8702163061564
Worcestershire Sauce,325.01996672212977,44.74376039933444,154.15640599001665,29.27287853577371,618.9317803660566,561.5806988352746
Worcestershire Sauce,346.8236272878536,42.36772046589018,158.15973377703827,31.24126455906822,621.91846921797,575.2096505823628
Worcestershire Sauce,317.66722129783693,38.123128119800334,119.14475873544093,33.71048252911814,603.7820299500831,528.8186356073211
Worcestershire Sauce,322.3610648918469,39.32778702163061,123.42928452579035,30.509151414309486,612.8585690515807,551.9334442595674
Worcestershire Sauce,337.7004991680532,37.4675540765391,125.00499168053244,31.772046589018302,621.0133111480865,561.324459234609
Worcestershire Sauce,323.78702163061564,35.40765391014975,122.01663893510815,29.557404326123127,614.4525790349418,553.8153078202995
